缺失文件报告
============================================================
doc_001480.xlsx: 未知原因，行数=20, 有效id=20
doc_001482.xlsx: 未知原因，行数=20, 有效id=20
doc_001483.xlsx: 未知原因，行数=20, 有效id=20
doc_001484.xlsx: 未知原因，行数=20, 有效id=20
doc_001487.xlsx: 未知原因，行数=20, 有效id=20
doc_001488.xlsx: 未知原因，行数=20, 有效id=20
doc_001489.xlsx: 未知原因，行数=20, 有效id=20
doc_001494.xlsx: 未知原因，行数=20, 有效id=20
doc_001640.xlsx: 未知原因，行数=20, 有效id=20
doc_001669.xlsx: 未知原因，行数=20, 有效id=20
doc_001853.xlsx: 未知原因，行数=20, 有效id=20
doc_001877.xlsx: 未知原因，行数=20, 有效id=20
doc_001879.xlsx: 未知原因，行数=20, 有效id=20
doc_001883.xlsx: 未知原因，行数=20, 有效id=20
doc_001885.xlsx: 未知原因，行数=20, 有效id=20
doc_001886.xlsx: 未知原因，行数=20, 有效id=20
doc_001888.xlsx: 未知原因，行数=20, 有效id=20
doc_001890.xlsx: 未知原因，行数=20, 有效id=20
doc_002119.xlsx: 未知原因，行数=1, 有效id=1
doc_002126.xlsx: 未知原因，行数=20, 有效id=20
doc_002127.xlsx: 未知原因，行数=20, 有效id=20
doc_002128.xlsx: 未知原因，行数=20, 有效id=20
doc_002129.xlsx: 未知原因，行数=20, 有效id=20
doc_002197.xlsx: 未知原因，行数=20, 有效id=20
doc_002221.xlsx: 未知原因，行数=20, 有效id=20
doc_002222.xlsx: 未知原因，行数=20, 有效id=20
doc_002230.xlsx: 未知原因，行数=20, 有效id=20
doc_002235.xlsx: 未知原因，行数=20, 有效id=20
doc_002236.xlsx: 未知原因，行数=20, 有效id=20
doc_002239.xlsx: 未知原因，行数=18, 有效id=18
doc_002240.xlsx: 未知原因，行数=20, 有效id=20
doc_002243.xlsx: 未知原因，行数=20, 有效id=20
doc_002372.xlsx: 未知原因，行数=2, 有效id=2
doc_002516.xlsx: 未知原因，行数=1, 有效id=1
doc_002639.xlsx: 未知原因，行数=20, 有效id=20
doc_002779.xlsx: 未知原因，行数=20, 有效id=20
doc_002781.xlsx: 未知原因，行数=20, 有效id=20
doc_002784.xlsx: 未知原因，行数=20, 有效id=20
doc_002791.xlsx: 未知原因，行数=20, 有效id=20
doc_002792.xlsx: 未知原因，行数=20, 有效id=20
doc_002932.xlsx: 未知原因，行数=20, 有效id=20
doc_002934.xlsx: 未知原因，行数=20, 有效id=20
doc_002938.xlsx: 未知原因，行数=20, 有效id=20
doc_003155.xlsx: 未知原因，行数=10, 有效id=10
doc_003159.xlsx: 未知原因，行数=20, 有效id=20
doc_003162.xlsx: 未知原因，行数=20, 有效id=20
doc_003163.xlsx: 未知原因，行数=20, 有效id=20
doc_003165.xlsx: 未知原因，行数=20, 有效id=20
doc_003171.xlsx: 未知原因，行数=20, 有效id=20
doc_003176.xlsx: 未知原因，行数=20, 有效id=20
doc_003180.xlsx: 未知原因，行数=20, 有效id=20
doc_003182.xlsx: 未知原因，行数=20, 有效id=20
doc_003183.xlsx: 未知原因，行数=20, 有效id=20
doc_003187.xlsx: 未知原因，行数=20, 有效id=20
doc_003189.xlsx: 未知原因，行数=20, 有效id=20
doc_003191.xlsx: 未知原因，行数=20, 有效id=20
doc_003192.xlsx: 未知原因，行数=20, 有效id=20
doc_003193.xlsx: 未知原因，行数=20, 有效id=20
doc_003194.xlsx: 未知原因，行数=20, 有效id=20
doc_003195.xlsx: 未知原因，行数=20, 有效id=20
doc_003196.xlsx: 未知原因，行数=20, 有效id=20
doc_003197.xlsx: 未知原因，行数=20, 有效id=20
doc_003201.xlsx: 未知原因，行数=20, 有效id=20
doc_003205.xlsx: 未知原因，行数=20, 有效id=20
doc_003268.xlsx: 未知原因，行数=20, 有效id=20
doc_004136.xlsx: 未知原因，行数=20, 有效id=20
doc_004140.xlsx: 未知原因，行数=20, 有效id=20
doc_004554.xlsx: 未知原因，行数=20, 有效id=20
doc_004650.xlsx: 未知原因，行数=20, 有效id=20
doc_004666.xlsx: 未知原因，行数=20, 有效id=20
doc_004688.xlsx: 未知原因，行数=20, 有效id=20
doc_004689.xlsx: 未知原因，行数=20, 有效id=20
doc_004712.xlsx: 未知原因，行数=20, 有效id=20
doc_004718.xlsx: 未知原因，行数=20, 有效id=20
doc_004832.xlsx: 未知原因，行数=20, 有效id=20
doc_004914.xlsx: 未知原因，行数=2, 有效id=2
doc_005167.xlsx: 未知原因，行数=10, 有效id=10
doc_005187.xlsx: 未知原因，行数=10, 有效id=10
doc_005240.xlsx: 未知原因，行数=10, 有效id=10
doc_005257.xlsx: 未知原因，行数=10, 有效id=10
doc_005291.xlsx: 未知原因，行数=10, 有效id=10
doc_005408.xlsx: 未知原因，行数=20, 有效id=20
doc_005409.xlsx: 未知原因，行数=20, 有效id=20
doc_005410.xlsx: 未知原因，行数=20, 有效id=20
doc_005417.xlsx: 未知原因，行数=20, 有效id=20
doc_005423.xlsx: 未知原因，行数=3, 有效id=3
doc_005655.xlsx: 未知原因，行数=20, 有效id=20
doc_005660.xlsx: 未知原因，行数=20, 有效id=20
doc_006313.xlsx: 未知原因，行数=20, 有效id=20
doc_006386.xlsx: 未知原因，行数=20, 有效id=20
doc_006505.xlsx: 未知原因，行数=20, 有效id=20
doc_006509.xlsx: 未知原因，行数=20, 有效id=20
doc_006511.xlsx: 未知原因，行数=20, 有效id=20
doc_006512.xlsx: 未知原因，行数=20, 有效id=20
doc_006515.xlsx: 未知原因，行数=20, 有效id=20
doc_006524.xlsx: 未知原因，行数=20, 有效id=20
doc_006525.xlsx: 未知原因，行数=20, 有效id=20
doc_006526.xlsx: 未知原因，行数=20, 有效id=20
doc_006527.xlsx: 未知原因，行数=20, 有效id=20
doc_006528.xlsx: 未知原因，行数=20, 有效id=20
doc_007130.xlsx: 未知原因，行数=12, 有效id=12
doc_007194.xlsx: 未知原因，行数=20, 有效id=20
doc_007243.xlsx: 未知原因，行数=20, 有效id=20
doc_007619.xlsx: 未知原因，行数=20, 有效id=20
doc_007622.xlsx: 未知原因，行数=20, 有效id=20
doc_007624.xlsx: 未知原因，行数=20, 有效id=20
doc_007632.xlsx: 未知原因，行数=20, 有效id=20
doc_007644.xlsx: 未知原因，行数=20, 有效id=20
doc_007649.xlsx: 未知原因，行数=20, 有效id=20
doc_007653.xlsx: 未知原因，行数=20, 有效id=20
doc_007660.xlsx: 未知原因，行数=20, 有效id=20
doc_007663.xlsx: 未知原因，行数=20, 有效id=20
doc_007668.xlsx: 未知原因，行数=20, 有效id=20
doc_007672.xlsx: 未知原因，行数=20, 有效id=20
doc_007674.xlsx: 未知原因，行数=20, 有效id=20
doc_007679.xlsx: 未知原因，行数=20, 有效id=20
doc_007683.xlsx: 未知原因，行数=20, 有效id=20
doc_007687.xlsx: 未知原因，行数=20, 有效id=20
doc_007691.xlsx: 未知原因，行数=10, 有效id=10
doc_007693.xlsx: 未知原因，行数=10, 有效id=10
doc_007913.xlsx: 未知原因，行数=10, 有效id=10
doc_007916.xlsx: 未知原因，行数=20, 有效id=20
doc_007917.xlsx: 未知原因，行数=20, 有效id=20
doc_007925.xlsx: 未知原因，行数=20, 有效id=20
doc_007927.xlsx: 未知原因，行数=20, 有效id=20
doc_007929.xlsx: 未知原因，行数=20, 有效id=20
doc_008198.xlsx: 未知原因，行数=20, 有效id=20
doc_008248.xlsx: 未知原因，行数=20, 有效id=20
doc_008479.xlsx: 未知原因，行数=10, 有效id=10
doc_008482.xlsx: 未知原因，行数=20, 有效id=20
doc_008485.xlsx: 未知原因，行数=20, 有效id=20
doc_008495.xlsx: 未知原因，行数=10, 有效id=10
doc_008498.xlsx: 未知原因，行数=20, 有效id=20
doc_008502.xlsx: 未知原因，行数=20, 有效id=20
doc_008503.xlsx: 未知原因，行数=10, 有效id=10
doc_008504.xlsx: 未知原因，行数=10, 有效id=10
doc_008507.xlsx: 未知原因，行数=20, 有效id=20
doc_008508.xlsx: 未知原因，行数=10, 有效id=10
doc_008514.xlsx: 未知原因，行数=10, 有效id=10
doc_008517.xlsx: 未知原因，行数=20, 有效id=20
doc_008519.xlsx: 未知原因，行数=20, 有效id=20
doc_008526.xlsx: 未知原因，行数=10, 有效id=10
doc_008529.xlsx: 未知原因，行数=10, 有效id=10
doc_008536.xlsx: 未知原因，行数=20, 有效id=20
doc_008538.xlsx: 未知原因，行数=10, 有效id=10
doc_008539.xlsx: 未知原因，行数=10, 有效id=10
doc_008542.xlsx: 未知原因，行数=10, 有效id=10
doc_008545.xlsx: 未知原因，行数=20, 有效id=20
doc_008546.xlsx: 未知原因，行数=10, 有效id=10
doc_008550.xlsx: 未知原因，行数=20, 有效id=20
doc_008551.xlsx: 未知原因，行数=10, 有效id=10
doc_008559.xlsx: 未知原因，行数=20, 有效id=20
doc_008562.xlsx: 未知原因，行数=10, 有效id=10
doc_008564.xlsx: 未知原因，行数=20, 有效id=20
doc_008567.xlsx: 未知原因，行数=10, 有效id=10
doc_008569.xlsx: 未知原因，行数=20, 有效id=20
doc_008573.xlsx: 未知原因，行数=20, 有效id=20
